,Intl_Calls,Intl_Charge,Total_Minutes,Total_Charge,Min_Call,Total_Calls,Cost_Call,Region_Code
502,5,4.73,663.5,69.21,2.24,296,4.28,3
503,3,2.51,652.7,64.43,1.99,328,5.09,3
504,12,3.35,637.2,63.45,2.2,289,4.55,6
505,5,3,558.2,52.57,2.51,222,4.22,7
506,5,3.08,618.9,57.77,2.23,278,4.81,3
507,2,1.51,777.4,68.68,2.36,329,4.79,3
508,5,3.13,655.1,64.29,2,328,5.1,3
509,5,2.59,549.6,56.23,1.61,342,6.08,5
510,3,3.32,544.3,50.88,1.73,315,6.19,4
511,8,4,638.6,68.03,2.2,290,4.26,3
512,8,2.46,627.5,60.09,2.12,296,4.93,5
513,3,1.78,665,67.13,2.49,267,3.98,5
514,12,3.78,603.8,72.18,2.01,301,4.17,5
515,5,4.73,449.8,43.63,1.51,298,6.83,2
516,1,2.05,595.5,53.06,1.93,309,5.82,5
517,4,2.54,506.1,58.07,1.56,324,5.58,6
518,3,3.48,575.3,58.8,1.96,294,5,6
519,3,2.43,479.2,55.1,1.62,296,5.37,3
520,2,3.13,558.4,66.59,1.85,302,4.54,5
521,3,2.21,482.5,39.17,1.95,247,6.31,5
522,5,2.48,682.6,73.66,2.13,321,4.36,5
523,6,2.65,359,30.04,1.27,282,9.39,3
524,6,3.51,483.7,60.47,1.36,355,5.87,3
525,8,2.84,388.8,32.5,1.18,330,10.15,6
526,3,3.38,614.1,66.18,1.89,325,4.91,3
527,7,3.21,450.4,33.39,1.43,314,9.4,4
528,4,2.32,490,45.88,1.39,352,7.67,2
529,9,3.27,622.9,52.8,1.87,333,6.31,7
530,4,2.11,606.4,57.61,2.25,270,4.69,4
531,3,1.81,622.2,58.64,2.3,270,4.6,5
532,5,2.89,685.1,70.08,2.82,243,3.47,1
533,3,1.46,374.6,44.93,1.24,302,6.72,6
534,10,2.48,632.6,71.99,1.92,329,4.57,5
535,1,4.91,566.2,46.86,1.73,327,6.98,3
536,6,3.78,527.7,54.12,1.78,296,5.47,6
537,3,2.3,479,51.61,1.65,290,5.62,2
538,8,3.35,644.5,66.5,1.79,361,5.43,1
539,3,2.67,551.8,49.2,1.66,333,6.77,4
540,2,2.11,430.6,45.52,1.5,288,6.33,5
541,1,1.78,516.4,57.28,2.13,243,4.24,4
542,3,3.83,770.3,77.68,2.59,297,3.82,3
543,6,0.95,646.1,67.84,1.91,338,4.98,5
544,8,3.29,434.7,44.92,1.34,325,7.24,5
545,3,3.21,658.3,58.45,2.1,314,5.37,4
546,10,2.27,707.9,78.67,2.29,309,3.93,3
547,9,2.78,481.6,49.13,2.11,228,4.64,4
548,3,1.59,607.3,51.03,2.13,285,5.58,4
549,5,2.73,649.5,69.37,2.41,270,3.89,6
550,3,2.13,522.6,54.22,1.91,273,5.04,7
551,2,3.11,553.3,63.59,1.68,330,5.19,4
552,4,2.75,748.7,82.32,2.51,298,3.62,5
553,6,2.73,392.2,37.53,1.1,358,9.54,2
554,6,3.43,569.9,57.46,1.99,287,4.99,6
555,2,3.54,503.1,54.71,1.91,264,4.83,3
556,4,3.24,702.2,66.39,2.4,293,4.41,4
557,2,2.57,654.3,64.45,2.23,293,4.55,6
558,5,2.24,691.1,64.77,2.17,318,4.91,2
559,6,2.08,584.4,49.98,1.81,322,6.44,2
560,1,2.89,653.4,61.37,2.17,301,4.9,4
561,7,1.94,642.7,61.29,1.96,328,5.35,4
562,5,2.46,646.7,66.81,2.08,311,4.65,2
563,5,2.94,485.6,46.44,1.62,300,6.46,2
564,1,2.16,726.3,73.46,2.36,308,4.19,4
565,4,1.27,527.7,58.75,1.87,282,4.8,4
566,5,3.05,652.9,57.97,2.11,309,5.33,6
567,7,0.97,554.9,60.31,1.88,295,4.89,5
568,6,2.7,607.5,72.64,2.15,282,3.88,3
569,4,4.16,670.3,71.87,1.93,348,4.84,5
570,2,2.78,575.9,58.8,1.82,316,5.37,5
571,3,3.92,562.4,44.95,1.78,316,7.03,3
572,3,2.92,486.8,43.13,1.71,285,6.61,3
573,1,2.43,653.2,69.93,2.03,322,4.6,5
574,5,2.67,794.3,77.54,2.82,282,3.64,5
575,2,3.83,707.9,81.8,2.48,286,3.5,3
576,6,3.7,659.9,67.09,2.37,279,4.16,5
577,4,3.16,481.5,50.23,1.47,328,6.53,1
578,3,2.08,565.3,59.33,1.9,298,5.02,2
579,4,4.46,725.4,73.1,2.29,317,4.34,4
580,2,2,810.1,78.19,2.12,382,4.89,3
581,3,2.75,567.4,63.05,1.97,288,4.57,4
582,8,2.89,499.2,51.61,1.54,324,6.28,6
583,2,2.78,665.5,58.8,2.53,263,4.47,4
584,6,2.65,721,75.65,2.36,305,4.03,3
585,5,2.75,430.9,35.18,1.27,339,9.64,5
586,4,2.27,649.8,67.01,1.67,389,5.81,6
587,8,2,415.2,43.91,1.37,303,6.9,4
588,11,3.65,533.4,48.66,1.77,301,6.19,6
589,2,2.32,430.4,40.09,1.49,288,7.18,3
590,4,3.05,688.7,72.89,2.25,306,4.2,5
591,2,3.48,529.3,50.74,1.57,338,6.66,4
592,1,2.59,486.5,49.82,1.53,318,6.38,6
593,5,2.57,640.1,67.01,1.86,345,5.15,4
594,6,3.38,649.8,64.25,1.96,331,5.15,5
595,0,0,553.9,49.94,1.84,301,6.03,7
596,4,2.59,491.2,49.18,1.96,251,5.1,3
597,5,2.46,507.4,49.04,1.8,282,5.75,4
598,5,3.32,506.8,52.16,1.61,314,6.02,6
599,6,2.48,671,67.07,2.2,305,4.55,3
600,4,2.46,528.2,48.48,1.7,310,6.39,3
601,6,3.75,492.7,53.16,1.8,273,5.14,4
602,4,1.24,517.1,56.29,1.8,288,5.12,5
603,6,3.13,578.9,46.47,1.61,360,7.75,3
604,7,3.08,576.2,58.74,1.59,362,6.16,6
605,8,3.43,825.7,90.46,2.53,326,3.6,3
606,8,3.54,571.3,57.67,1.74,329,5.7,4
607,8,1.78,507.7,46.86,1.94,262,5.59,5
608,5,2.86,655.8,65.32,2.12,309,4.73,2
609,3,2.35,579.6,56.77,2.26,257,4.53,2
610,7,3.13,663.2,67.45,1.83,362,5.37,4
611,3,3.43,659.6,62.93,2.93,225,3.58,5
612,6,2.08,593.2,57.32,1.59,373,6.51,1
613,6,3.56,642.1,68.15,2.15,298,4.37,2
614,1,1.97,658.1,70.11,2.02,326,4.65,7
615,5,2.16,613.3,58.91,2.22,276,4.69,2
616,7,2.38,710.4,60.95,1.83,388,6.37,1
617,6,3.78,629.9,59.41,1.63,386,6.5,5
618,6,3.13,504.4,55.92,1.65,306,5.47,5
619,4,3.92,763.2,81.81,2.89,264,3.23,3
620,4,3.46,666.4,64.54,2.21,301,4.66,3
621,3,3.11,434.7,43.21,1.41,308,7.13,7
622,3,2.86,488.1,56.42,1.43,342,6.06,4
623,1,1.92,633.7,62.94,2.06,308,4.89,5
624,2,1.38,636.3,58.78,2.02,315,5.36,7
625,4,3.73,529.3,54.02,1.74,304,5.63,6
626,2,1.11,614.7,63.52,2.11,292,4.6,4
627,2,2,673.7,70.43,2.33,289,4.1,5
628,5,1.76,489,46.26,1.58,309,6.68,4
629,4,3.7,750.6,83.37,2.11,355,4.26,5
630,4,3.75,604.7,61.53,2,303,4.92,6
631,2,2.57,533.9,47.97,1.92,278,5.8,2
632,4,1.3,557.2,48.07,1.8,309,6.43,3
633,4,4.21,471.7,46.62,1.56,302,6.48,4
634,6,2.92,719.6,66.03,2.22,324,4.91,3
635,7,2.75,614.2,56.88,2.38,258,4.54,2
636,15,2.48,526.2,52.48,1.43,369,7.03,3
637,3,2.03,552.5,54.17,1.73,319,5.89,5
638,1,3.48,685.1,72.8,2.23,307,4.22,2
639,2,3.08,484.6,45.81,1.55,312,6.81,5
640,4,2.13,549.1,53.62,1.84,299,5.58,3
641,3,2.65,582.1,57,1.76,331,5.81,5
642,13,2.97,597.1,62.14,2.13,280,4.51,3
643,7,4.21,734.3,73.88,2.39,307,4.16,6
644,4,3.78,654.7,67.08,2.1,312,4.65,2
645,4,2.3,597.7,67.54,1.66,361,5.34,2
646,9,4.16,649.2,71.24,2.91,223,3.13,5
647,5,2.03,482.7,52.52,1.39,348,6.63,4
648,4,2.46,284.3,27.54,0.8,356,12.93,3
649,3,1.62,735,75.56,3.18,231,3.06,3
650,4,3.11,607.3,69.65,1.86,326,4.68,4
651,6,2.57,607.5,64.36,2.42,251,3.9,4
652,1,2.48,543.1,57.47,1.62,336,5.85,5
653,3,2.3,583.8,65.3,2,292,4.47,2
654,5,2.84,569.5,58.74,1.73,330,5.62,1
655,10,2.54,592.6,56.25,2.17,273,4.85,1
656,4,2.51,636.2,59.14,1.96,324,5.48,3
657,2,2.51,497,58.89,1.62,306,5.2,7
658,7,2.67,478.9,47.91,1.62,296,6.18,5
659,2,2.24,445.8,45.77,1.66,268,5.86,2
660,9,2.57,776.6,82.38,2.73,284,3.45,2
661,4,3.24,671.8,74.3,2.62,256,3.45,3
662,2,3.32,720.4,71.08,3.09,233,3.28,3
663,4,2,412.7,50.08,1.35,306,6.11,4
664,4,2.11,620.4,62.01,1.99,311,5.02,3
665,4,2.48,681.8,64.6,1.8,378,5.85,5
666,1,2.59,563.6,65.03,1.74,323,4.97,1
667,3,2.48,457.8,51.66,1.37,333,6.45,2
668,1,3.32,639.1,67.97,1.91,334,4.91,2
669,4,4.19,609.6,63.5,1.88,324,5.1,5
670,4,4.4,728.1,79.07,2.29,318,4.02,5
671,6,3.21,455.4,46.8,1.35,337,7.2,4
672,5,3.19,491.6,52.47,1.72,286,5.45,3
673,3,3.02,596.4,54.95,2.45,243,4.42,2
674,15,2.03,613.6,60.4,2.33,263,4.35,5
675,3,1.59,642,65.63,1.95,329,5.01,5
676,4,2.86,520.5,60.61,1.52,343,5.66,4
677,4,2.54,580.8,64.83,2,291,4.49,3
678,4,2.4,564,59.05,1.72,328,5.55,4
679,9,2.35,766.1,77.32,2.54,302,3.91,6
680,2,3.54,598.2,61.15,2.04,293,4.79,3
681,5,2.51,546.9,48.42,2.03,269,5.56,5
682,3,3.08,541.6,65.05,1.76,308,4.73,3
683,1,1.76,609.6,58.46,1.83,334,5.71,3
684,8,3,548.9,49.05,2.21,248,5.06,7
685,7,2.32,457.3,33.86,1.37,334,9.86,2
686,2,2.73,602.1,65.84,2.08,289,4.39,4
687,8,3.4,616,61.97,1.8,342,5.52,5
688,3,3.27,796.7,86.38,2.64,302,3.5,3
689,2,2.21,544.4,66.3,1.66,328,4.95,2
690,3,4.02,636.5,63.61,1.95,326,5.12,3
691,4,2.75,522.9,51.93,1.64,319,6.14,5
692,7,1.54,660.1,65.27,2.35,281,4.31,3
693,4,2.16,606.8,56.07,1.81,336,5.99,4
694,4,2.94,622.5,60.48,2.06,302,4.99,3
695,9,3.13,434.9,38.6,1.32,330,8.55,2
696,3,2.03,533.9,55.2,1.97,271,4.91,5
697,4,2.46,638.6,60.4,2.5,255,4.22,1
698,11,2.27,707.5,66.92,2.58,274,4.09,4
699,9,2.97,606.1,64.49,2.1,288,4.47,3
700,3,2.89,410.2,38.94,1.33,308,7.91,5
701,3,2.08,434.4,45.07,1.36,319,7.08,4
702,3,3.81,612.8,61.2,1.86,329,5.38,3
703,7,2.81,589.7,56.46,2.01,293,5.19,2
704,4,1.76,615.3,64.59,2.09,294,4.55,3
705,5,2.3,471.3,40.23,1.74,271,6.74,7
706,5,0.97,608.9,62.97,2.28,267,4.24,2
707,7,2.05,657.2,60.89,2.24,294,4.83,4
708,6,2.86,460.1,41.1,1.42,324,7.88,2
709,3,2.62,563.2,59.02,2.17,259,4.39,7
710,4,3.38,684.4,66.7,2.27,301,4.51,5
711,8,3.08,665.5,62.39,2.17,306,4.9,2
712,0,0,425.4,36.58,1.5,283,7.74,3
713,2,1.86,643.3,66.48,1.91,337,5.07,5
714,5,1.97,569.4,57.71,2.18,261,4.52,3
715,6,4.13,659.4,74.05,2.02,326,4.4,5
716,4,3.08,709.9,71.64,2.06,344,4.8,5
717,6,1.94,616.8,64.48,2.12,291,4.51,6
718,3,2.51,545.5,56.22,1.55,353,6.28,7
719,5,3.16,653,63.58,2.24,291,4.58,7
720,2,2,590.9,56.94,2.19,270,4.74,4
721,5,2.94,434.1,39.65,1.51,287,7.24,2
722,3,3.65,527.9,61.48,1.55,341,5.55,5
723,11,3.78,595.7,56.64,1.95,305,5.38,3
724,5,4.43,602.7,62,1.95,309,4.98,1
725,3,3.21,593.1,56.04,1.89,314,5.6,5
726,5,2.11,609.9,54,1.94,315,5.83,5
727,2,2.48,645.4,66.81,1.99,324,4.85,4
728,5,3.43,643,73.01,1.95,329,4.51,5
729,5,3.62,607.5,61.95,1.8,338,5.46,4
730,3,3.11,706.9,76.4,2.68,264,3.46,2
731,1,2.16,734,72.42,2.23,329,4.54,2
732,5,1.94,638.2,73.21,2.16,296,4.04,3
733,8,2.57,583.3,62.39,1.96,297,4.76,6
734,4,3.27,544.7,57.47,1.63,335,5.83,4
735,6,1.76,538,40.8,1.89,285,6.99,7
736,9,2.97,517.8,52.25,1.93,268,5.13,2
737,3,4.51,561.2,54.17,1.63,345,6.37,5
738,3,3.08,622,60.13,2.11,295,4.91,3
739,8,2.38,611.9,61.7,2.08,294,4.76,3
740,2,2.54,591.3,65.11,2.75,215,3.3,2
741,3,3.11,453.7,38.4,1.43,317,8.26,3
742,3,3.08,693.5,67.57,2.02,344,5.09,5
743,6,2.81,571.3,59.84,1.89,302,5.05,5
744,5,2.46,645.7,64.73,2.15,301,4.65,2
745,8,1.78,560.6,56.89,1.83,307,5.4,1
746,2,1.73,508.9,47.93,1.51,338,7.05,3
747,1,2.11,614.9,60.34,1.8,342,5.67,5
748,5,2.35,621.2,68.31,1.87,333,4.87,5
749,6,2.97,509.9,54.27,1.54,332,6.12,6
750,4,2.21,495.9,50.83,1.76,282,5.55,5
751,6,2.73,559.3,50.04,1.88,297,5.94,3
752,4,3.43,488.2,54.18,1.88,259,4.78,2
753,5,2.97,417.9,40.49,1.3,322,7.95,6
754,4,2.59,595.1,60.05,1.87,318,5.3,4
755,4,3.08,522.2,56.69,1.9,275,4.85,1
756,14,2.65,612.2,66.08,2.1,292,4.42,2
757,5,3.54,556.8,52.22,1.84,302,5.78,2
758,6,2.65,684.4,76.39,2.19,313,4.1,5
759,4,2.57,690.7,62.89,2.24,309,4.91,2
760,5,2.73,674.6,66.88,2.68,252,3.77,5
761,3,2.27,582.6,62.34,1.81,322,5.17,5
762,6,0.35,642.8,63.61,1.9,338,5.31,2
763,5,4.05,780.6,72.3,2.59,301,4.16,5
764,4,3.08,621.4,58.48,2.4,259,4.43,5
765,6,2.35,563.4,59.09,1.75,322,5.45,1
766,2,2.97,667.5,71.1,2.3,290,4.08,4
767,4,4.1,614.1,66.38,1.6,383,5.77,5
768,2,2.62,621.4,67.93,2.27,274,4.03,4
769,3,2.97,593.2,62.57,1.94,305,4.87,2
770,4,3.59,589.7,58.51,2.16,273,4.67,3
771,3,2.38,447.8,44.67,1.61,279,6.25,3
772,7,2.48,619.8,61.93,2.03,305,4.92,2
773,2,2.08,534.7,54.62,1.53,350,6.41,4
774,4,2.86,598.9,57.43,2,300,5.22,1
775,4,2.89,579.5,57.55,2.22,261,4.54,2
776,4,2.84,678,71.14,2.09,324,4.55,5
777,4,1.57,582.8,52.1,2.36,247,4.74,3
778,5,3.67,627,61.28,2.41,260,4.24,5
779,4,2.73,641,68.23,2.17,295,4.32,3
780,9,2.97,622.1,72.01,2.51,248,3.44,5
781,4,2.89,507.5,53.52,1.3,390,7.29,5
782,4,2.54,682,68.7,2.62,260,3.78,3
783,4,2.54,522.8,40.31,1.92,272,6.75,3
784,9,3.02,675.4,73.79,1.93,350,4.74,3
785,5,2.89,645.2,70.51,3,215,3.05,4
786,3,3.05,616,64.27,2.33,264,4.11,3
787,6,3,668,74.11,2.23,299,4.03,4
788,2,3.19,478.2,55.75,1.63,294,5.27,5
789,3,2.84,513.7,48.23,2,257,5.33,4
790,3,2.03,580.9,70.89,2.15,270,3.81,6
791,3,3.81,605.2,59.1,2.5,242,4.09,4
792,2,2.21,698.5,77.35,2.43,287,3.71,2
793,3,2.43,580.8,51.02,1.72,337,6.61,3
794,2,4.08,609.6,63.83,1.92,318,4.98,7
795,4,2.92,636,66.45,2.13,298,4.48,5
796,2,2.27,485.1,51.45,1.43,339,6.59,6
797,7,3.92,580.9,56.75,1.53,379,6.68,5
798,5,3.94,605.8,65.56,1.74,348,5.31,5
799,5,4.29,520.9,51.74,1.41,370,7.15,6
800,2,3.05,672.9,74.32,2.27,296,3.98,3
801,5,2.54,638.1,69.69,1.9,336,4.82,4
802,4,1.76,763.6,72.46,2.63,290,4,5
803,3,3.4,765.5,73.47,2.9,264,3.59,1
804,4,2.65,692.9,73.79,2.84,244,3.31,2
805,4,1.84,512.3,57.94,1.8,284,4.9,5
806,5,2.75,477.4,51.83,1.39,344,6.64,5
807,3,3.27,505.9,48.27,1.59,319,6.61,5
808,3,3.05,545.1,54.72,2.35,232,4.24,3
809,3,1.57,633.6,62.78,2.12,299,4.76,5
810,4,3.27,594.4,63.4,1.73,344,5.43,3
811,6,2.67,530,59.7,1.52,348,5.83,5
812,4,3.54,429.2,41.85,1.64,262,6.26,7
813,5,4.13,656.4,65.77,2.16,304,4.62,3
814,4,3.35,518.4,50.62,1.75,297,5.87,1
815,3,1.54,775.2,82.28,2.66,291,3.54,5
816,5,3.27,659.2,69.18,2.21,298,4.31,3
817,6,1.78,530,43.82,1.9,279,6.37,2
818,3,4.08,614.5,62.53,1.88,327,5.23,6
819,3,3.54,596.8,56.2,1.79,334,5.94,3
820,3,3.43,458.2,49.53,1.38,332,6.7,5
821,5,3.54,352.4,33.79,1.22,290,8.58,3
822,4,3.16,580.1,57.14,2.05,283,4.95,5
823,6,2.73,457.7,46.5,1.94,236,5.08,4
824,3,3.05,502.6,56.63,1.63,308,5.44,5
825,6,3.13,577.6,58.58,1.83,315,5.38,3
826,9,2.54,580.8,58.13,1.84,315,5.42,3
827,4,3.29,642,58.03,1.8,357,6.15,5
828,2,1.49,641.8,61.33,1.83,350,5.71,7
829,3,2.67,558.6,61.42,2.62,213,3.47,4
830,1,3.62,516.1,50.95,1.56,331,6.5,2
831,2,3.19,670.2,66.76,2.39,280,4.19,4
832,4,2.54,722.7,83.14,2.18,331,3.98,5
833,3,2.75,580.4,64.06,1.81,321,5.01,3
834,3,2.54,427.7,35.54,1.49,287,8.08,5
835,3,2.67,357,35.72,1.34,266,7.45,5
836,4,2.62,614.3,65.15,1.91,321,4.93,3
837,13,2.19,545.6,48.79,1.71,319,6.54,5
838,8,3.21,744.2,73.59,2.14,348,4.73,4
839,5,4.35,646,69.02,2.4,269,3.9,7
840,6,2.43,604.1,52.44,1.74,348,6.64,4
841,2,2.78,560.3,63.43,1.8,312,4.92,2
842,11,3.08,462.4,47.89,1.61,287,5.99,1
843,6,4.27,537.5,61.01,1.75,308,5.05,5
844,6,3.94,569.4,57.49,2.21,258,4.49,3
845,4,2.7,682.2,76.11,2.3,296,3.89,5
846,4,2.78,677.4,63.01,2.02,335,5.32,3
847,4,2.78,585.3,52.24,2.08,282,5.4,3
848,9,2.46,646.5,68.53,2.11,306,4.47,4
849,2,2.48,583.7,63.72,1.95,300,4.71,3
850,5,2.94,584.2,65.14,1.7,343,5.27,1
851,4,2.97,494.4,58.13,1.81,273,4.7,4
852,3,2.59,727.7,73.06,2.73,267,3.65,3
853,6,2.05,638.4,56.71,2.09,305,5.38,4
854,13,2.62,707.7,70.92,2.3,308,4.34,3
855,7,1.67,630,68.99,1.64,383,5.55,3
856,2,3.43,532.1,54.58,1.54,345,6.32,2
857,4,2.48,645.3,60.97,2.12,304,4.99,2
858,8,3.16,567.1,60.39,1.98,286,4.74,3
859,3,3.05,764.9,79.37,2.72,281,3.54,5
860,6,2.67,592.9,58.31,1.75,339,5.81,7
861,3,4.02,570.3,55.55,1.58,361,6.5,3
862,3,3.54,669.2,59.38,1.84,363,6.11,1
863,13,3.35,590.5,61.42,1.95,303,4.93,3
864,4,2.4,438.2,49.74,1.36,323,6.49,4
865,9,2.67,545.6,59.86,1.68,324,5.41,5
866,3,3,645.9,69.81,1.88,344,4.93,3
867,5,2.21,514.4,48.83,1.96,263,5.39,2
868,7,1.08,585,61.44,1.81,324,5.27,5
869,4,2,647.7,61.81,1.9,341,5.52,3
870,5,4.02,629.5,54.87,1.86,338,6.16,3
871,6,3,757.6,78.13,2.2,345,4.42,4
872,3,2.94,633.7,63.79,2.23,284,4.45,6
873,1,2.51,719.7,64.77,2.37,304,4.69,4
874,3,2.81,558.7,58.5,1.76,318,5.44,1
875,4,2.46,557.9,56.31,1.7,328,5.82,7
876,2,2.03,601.6,57.57,1.93,311,5.4,2
877,4,1.59,589.2,69.44,1.88,313,4.51,5
878,0,0,519.5,64.93,2.09,248,3.82,3
879,8,3.19,672.9,75.61,2.12,318,4.21,2
880,7,2.75,570.3,56.78,2.24,255,4.49,2
881,8,1.81,623,53.16,1.89,329,6.19,5
882,3,1.94,575.2,59.47,1.57,367,6.17,5
883,12,2.16,455.2,50.81,1.4,326,6.42,2
884,7,4.05,567.1,66.49,2.07,274,4.12,5
885,3,1.46,694.3,74.05,2.04,341,4.6,4
886,3,2.4,501.7,45.6,1.52,329,7.21,7
887,7,2.05,701.2,63.71,2.8,250,3.92,3
888,4,1.49,657.8,63.29,2.15,306,4.83,2
889,5,3.35,432.6,48.77,1.31,331,6.79,3
890,2,3.24,603.4,61.5,2.02,299,4.86,4
891,5,1.67,483.1,43.33,1.41,342,7.89,6
892,4,3.32,597.7,59.37,2.15,278,4.68,5
893,3,2.89,493,57.63,1.6,309,5.36,3
894,3,3.21,496.6,46.91,1.89,263,5.61,4
895,3,2.3,571,56.67,1.81,315,5.56,5
896,7,3.89,502.8,47.93,1.39,363,7.57,4
897,7,4.19,627.4,66.73,1.92,327,4.9,7
898,2,2.16,621.8,55.68,1.85,337,6.05,2
899,7,2.35,692.6,69.35,2.19,316,4.56,5
900,6,1.49,504.5,46.96,1.69,299,6.37,5
901,3,3.05,725.6,85.46,1.89,383,4.48,4
902,6,2.21,601.9,58.5,1.97,305,5.21,7
903,8,1.59,574.8,61.84,2,288,4.66,3
904,3,2.43,714.2,75.08,2.21,323,4.3,5
905,4,3.62,481,51.49,1.55,311,6.04,5
906,3,3.65,551.5,62.04,1.9,291,4.69,4
907,2,4.56,490.1,45.01,2.13,230,5.11,2
908,4,4.05,591.4,60.41,2.16,274,4.54,2
909,6,1.38,515.5,41.15,1.64,314,7.63,5
910,5,2.19,540.1,53.72,1.72,314,5.85,4
911,11,3.89,807.2,85.7,2.19,368,4.29,5
912,3,2.86,453.8,47.6,1.66,273,5.74,3
913,4,2.86,827.2,77.98,2.6,318,4.08,5
914,4,2.84,851.8,88.13,2.41,353,4.01,3
915,3,2.03,448.8,40.2,1.34,336,8.36,3
916,5,3.56,625.8,55.24,1.97,317,5.74,2
917,6,2.24,528.9,43.93,1.87,283,6.44,7
918,2,1.4,780.9,71.98,2.54,307,4.27,4
919,4,2.97,533.6,57.06,1.65,324,5.68,6
920,2,2.48,455,43.07,1.7,268,6.22,5
921,14,1.19,537.2,47.83,2.26,238,4.98,4
922,5,2.51,755.8,71.78,2.67,283,3.94,3
923,3,3.73,489.8,47.75,1.92,255,5.34,5
924,4,2.13,553.2,51.83,1.7,326,6.29,5
925,2,2.92,371.9,32.92,1.17,318,9.66,5
926,6,3.78,508.8,56.43,1.68,303,5.37,2
927,5,3.08,476.8,48.13,1.56,306,6.36,2
928,5,2.11,519.3,53.31,1.7,306,5.74,4
929,5,1.78,608.2,64.89,1.87,326,5.02,7
930,4,2.65,640.4,57.26,1.95,329,5.75,3
931,2,3.24,511.9,42.02,1.75,293,6.97,5
932,2,2.7,671.7,69.89,2.15,312,4.46,6
933,4,3.81,555,52.18,1.6,346,6.63,5
934,2,3.02,450.2,44.12,1.42,317,7.18,5
935,3,3.51,717.9,72.44,2.48,290,4,5
936,4,2.48,682.8,62.43,2.13,320,5.13,3
937,2,1.81,562.8,60.8,1.91,294,4.84,7
938,2,3.86,594.6,52.62,2.06,288,5.47,6
939,8,3.21,583,47.47,1.93,302,6.36,3
940,4,4.19,630.5,62.63,1.78,354,5.65,5
941,5,1.76,677.5,62.64,2.37,286,4.57,3
942,2,1.73,581.8,61.51,1.85,314,5.1,4
943,2,3.4,683.4,65.85,2.11,324,4.92,1
944,6,2.48,560.8,55.92,1.55,361,6.46,2
945,6,3.11,570.2,56.56,1.96,291,5.14,5
946,5,3.62,736.3,78.77,2.73,270,3.43,4
947,4,2.97,556.9,56.13,1.93,289,5.15,3
948,3,2.27,579.2,54.14,1.8,321,5.93,2
949,3,2.97,644.1,70.01,2.18,295,4.21,5
950,3,2.13,523.4,47.9,1.62,324,6.76,7
951,2,3.13,595.7,58,2.32,257,4.43,4
952,2,2.89,525.8,58.13,1.62,325,5.59,4
953,3,2.32,597,58.25,1.94,308,5.29,7
954,8,2.32,609.7,57.83,1.7,359,6.21,1
955,5,2.78,594.6,57.23,1.66,359,6.27,5
956,3,1.92,605.9,62.43,2.42,250,4,5
957,15,2.54,635.9,60.92,2.29,278,4.56,2
958,3,3.32,621.2,67.21,1.97,316,4.7,5
959,5,3.46,487.7,50.13,1.57,310,6.18,5
960,3,3.59,613.8,63,2.98,206,3.27,5
961,3,1.13,693,72.14,2.83,245,3.4,4
962,2,2.08,589.7,60.79,1.99,296,4.87,4
963,5,2.92,600.6,55.34,2.31,260,4.7,3
964,2,3.59,600.9,62.36,1.81,332,5.32,4
965,4,3.29,558.1,59.71,1.72,324,5.43,6
966,5,4.24,689.7,63.92,2.24,308,4.82,4
967,3,2.48,554.5,63.26,1.49,371,5.86,5
968,3,3.65,601.2,61.89,1.84,327,5.28,6
969,4,2.38,591.2,62.85,2.59,228,3.63,5
970,1,3.11,632.4,62.1,2.14,296,4.77,4
971,5,1.35,690.5,62.35,2.64,262,4.2,5
972,3,3.19,557.6,62.86,1.98,282,4.49,5
973,2,3.32,466,49,1.64,285,5.82,3
974,7,2.57,595.5,56.77,2.21,270,4.76,1
975,6,2.81,727.8,84.56,2.34,311,3.68,5
976,6,3.51,539.4,48.76,2.05,263,5.39,5
977,2,3.19,495.1,48.21,1.52,325,6.74,5
978,4,3.54,781.6,83.52,2.31,338,4.05,4
979,5,2.11,551.6,48.35,1.71,323,6.68,1
980,8,3.13,556.2,59.4,1.69,330,5.56,6
981,4,1.86,626.6,53.31,2.3,272,5.1,3
982,18,3.51,535.3,52.89,1.61,333,6.3,3
983,4,2.43,667.3,67.59,2.01,332,4.91,3
984,1,2.67,655,61.74,2.14,306,4.96,2
985,9,3.59,885,96.15,3.61,245,2.55,4
986,9,3.19,466.2,43.68,1.18,394,9.02,5
987,2,2.24,717.6,78.17,2.52,285,3.65,3
988,4,4.59,528.1,53.62,1.45,364,6.79,2
989,3,3.67,623.6,73.05,1.83,341,4.67,2
990,2,1.05,749.9,69.26,2.55,294,4.24,5
991,2,2.13,551.9,56.09,1.83,301,5.37,3
992,5,2.08,313.3,33.32,0.95,331,9.93,3
993,2,2.59,533.4,47.62,1.76,303,6.36,5
994,6,2.81,709.4,75.07,2.29,310,4.13,4
995,5,2.03,495.1,53.89,1.62,305,5.66,2
996,5,3.13,511.4,48.21,1.66,308,6.39,3
997,3,3.05,592.8,65.02,2.24,265,4.08,5
998,3,3.97,602.4,62.14,2.1,287,4.62,3
999,3,2.13,434.9,53.9,1.46,297,5.51,5
100,0           4,3.46,635.8,75.29,1.76,362,4.81,3
100,1           4,2.27,561.9,49.55,1.85,303,6.12,5
100,2           3,1.84,551.1,50.29,1.96,281,5.59,4
100,3           3,2.21,575.4,57.93,2.1,274,4.73,6
100,4           3,3.32,507.6,56.52,1.59,320,5.66,5
