
------------------------------------------------------------------------------------------------------------------------------------------------------
RUN START: 2025-10-08T16:52:11.342368Z

HYPERPARAMS:
  CONV_K = 3
  CONV_DILATION = 1
  SHORT_UNITS = 192
  DROPOUT_SHORT = 0.2
  LONG_UNITS = 256
  PRED_HIDDEN = 128
  DROPOUT_LONG = 0.2
  LR_EPOCHS_WARMUP = 3
  INITIAL_LR = 0.0001
  WEIGHT_DECAY = 0.0002
  CLIPNORM = 2
  ETA_MIN = 1e-06
  T_0 = 10
  T_MULT = 2
  TRAIN_BATCH = 64
  VAL_BATCH = 1
  NUM_WORKERS = 12
  TRAIN_PREFETCH_FACTOR = 4
  MAX_EPOCHS = 100
  EARLY_STOP_PATIENCE = 7

BASELINES:
  TRAIN mean RMSE      = 0.20905
  TRAIN persistence RMSE = 0.02548
  VAL   mean RMSE      = 0.23007
  VAL   persistence RMSE = 0.03198

E01 | GN(reg=0.547,cls=0.000,ter=0.000,tot=0.668) | lr=9.76e-05 | tr(rmse=0.330,r2=-0.293,mae=0.254) | vl(rmse=0.269,r2=0.125,mae=0.206) | slip=0.00,hub=0.000 | top_grads=pred.2.weight:0.386,pred.0.weight:0.377,short2long.weight:0.312,short_lstm.weight_ih_l0:0.133,conv.weight:0.116,short_lstm.weight_ih_l0_reverse:0.102,pred.2.bias:0.088,short_lstm.bias_ih_l0:0.043,short_lstm.bias_hh_l0:0.043,short_lstm.weight_hh_l0:0.032,pred.0.bias:0.029,short2long.bias:0.025,short_lstm.bias_ih_l0_reverse:0.021,short_lstm.bias_hh_l0_reverse:0.021,ln_long.bias:0.017,ln_long.weight:0.013,ln_short.bias:0.013,ln_short.weight:0.011,bn.weight:0.010,bn.bias:0.008,conv.bias:0.000,short_lstm.weight_hh_l0_reverse:0.000
E29 | GN(reg=0.111,cls=0.000,ter=0.000,tot=0.137) | lr=1.61e-06 | tr(rmse=0.252,r2=0.246,mae=0.192) | vl(rmse=0.252,r2=0.232,mae=0.196) | slip=0.00,hub=0.000 | top_grads=pred.2.weight:0.085,conv.weight:0.069,pred.0.weight:0.069,short_lstm.weight_ih_l0_reverse:0.022,short2long.weight:0.021,short_lstm.weight_ih_l0:0.021,pred.2.bias:0.020,bn.weight:0.006,short_lstm.bias_ih_l0:0.005,short_lstm.bias_hh_l0:0.005,pred.0.bias:0.004,short_lstm.weight_hh_l0:0.004,short_lstm.bias_ih_l0_reverse:0.003,short_lstm.bias_hh_l0_reverse:0.003,bn.bias:0.003,short2long.bias:0.002,ln_long.bias:0.001,ln_short.bias:0.001,ln_long.weight:0.001,ln_short.weight:0.001,conv.bias:0.000,short_lstm.weight_hh_l0_reverse:0.000

E30 | GN(reg=0.115,cls=0.000,ter=0.000,tot=0.143) | lr=1.00e-04 | tr(rmse=0.252,r2=0.247,mae=0.192) | vl(rmse=0.252,r2=0.232,mae=0.196) | slip=0.00,hub=0.000 | top_grads=pred.2.weight:0.088,conv.weight:0.074,pred.0.weight:0.071,short_lstm.weight_ih_l0_reverse:0.023,short2long.weight:0.022,short_lstm.weight_ih_l0:0.022,pred.2.bias:0.021,bn.weight:0.006,short_lstm.bias_ih_l0:0.006,short_lstm.bias_hh_l0:0.006,pred.0.bias:0.005,short_lstm.weight_hh_l0:0.004,short_lstm.bias_ih_l0_reverse:0.003,short_lstm.bias_hh_l0_reverse:0.003,bn.bias:0.003,short2long.bias:0.002,ln_long.bias:0.002,ln_short.bias:0.001,ln_long.weight:0.001,ln_short.weight:0.001,conv.bias:0.000,short_lstm.weight_hh_l0_reverse:0.000

E31 | GN(reg=0.031,cls=0.000,ter=0.000,tot=0.054) | lr=9.98e-05 | tr(rmse=0.253,r2=0.242,mae=0.192) | vl(rmse=0.251,r2=0.237,mae=0.192) | slip=0.00,hub=0.000 | top_grads=conv.weight:0.041,pred.0.weight:0.023,pred.2.weight:0.020,short2long.weight:0.011,short_lstm.weight_ih_l0:0.009,short_lstm.weight_ih_l0_reverse:0.008,short_lstm.weight_hh_l0:0.003,bn.weight:0.002,short_lstm.bias_ih_l0:0.002,short_lstm.bias_hh_l0:0.002,pred.2.bias:0.001,short_lstm.bias_ih_l0_reverse:0.001,short_lstm.bias_hh_l0_reverse:0.001,bn.bias:0.001,pred.0.bias:0.001,ln_short.weight:0.001,short2long.bias:0.001,ln_long.weight:0.000,ln_long.bias:0.000,ln_short.bias:0.000,conv.bias:0.000,short_lstm.weight_hh_l0_reverse:0.000

E32 | GN(reg=0.039,cls=0.000,ter=0.000,tot=0.064) | lr=9.94e-05 | tr(rmse=0.252,r2=0.249,mae=0.192) | vl(rmse=0.251,r2=0.236,mae=0.192) | slip=0.00,hub=0.000 | top_grads=conv.weight:0.047,pred.2.weight:0.028,pred.0.weight:0.026,short2long.weight:0.012,short_lstm.weight_ih_l0:0.010,short_lstm.weight_ih_l0_reverse:0.008,pred.2.bias:0.007,short_lstm.bias_ih_l0:0.003,short_lstm.bias_hh_l0:0.003,short_lstm.weight_hh_l0:0.003,bn.weight:0.002,short_lstm.bias_ih_l0_reverse:0.002,short_lstm.bias_hh_l0_reverse:0.002,pred.0.bias:0.002,bn.bias:0.002,short2long.bias:0.001,ln_short.weight:0.001,ln_short.bias:0.001,ln_long.bias:0.001,ln_long.weight:0.000,conv.bias:0.000,short_lstm.weight_hh_l0_reverse:0.000

E33 | GN(reg=0.039,cls=0.000,ter=0.000,tot=0.066) | lr=9.86e-05 | tr(rmse=0.251,r2=0.252,mae=0.191) | vl(rmse=0.251,r2=0.236,mae=0.192) | slip=0.00,hub=0.000 | top_grads=conv.weight:0.050,pred.2.weight:0.027,pred.0.weight:0.027,short2long.weight:0.012,short_lstm.weight_ih_l0:0.011,short_lstm.weight_ih_l0_reverse:0.008,pred.2.bias:0.006,short_lstm.bias_ih_l0:0.003,short_lstm.bias_hh_l0:0.003,short_lstm.weight_hh_l0:0.003,bn.weight:0.002,short_lstm.bias_ih_l0_reverse:0.002,short_lstm.bias_hh_l0_reverse:0.002,bn.bias:0.002,pred.0.bias:0.001,short2long.bias:0.001,ln_short.weight:0.001,ln_short.bias:0.001,ln_long.bias:0.001,ln_long.weight:0.000,conv.bias:0.000,short_lstm.weight_hh_l0_reverse:0.000

E34 | GN(reg=0.033,cls=0.000,ter=0.000,tot=0.060) | lr=9.76e-05 | tr(rmse=0.251,r2=0.256,mae=0.191) | vl(rmse=0.251,r2=0.236,mae=0.192) | slip=0.00,hub=0.000 | top_grads=conv.weight:0.047,pred.0.weight:0.024,pred.2.weight:0.022,short_lstm.weight_ih_l0:0.010,short2long.weight:0.010,short_lstm.weight_ih_l0_reverse:0.009,pred.2.bias:0.004,short_lstm.weight_hh_l0:0.003,short_lstm.bias_ih_l0:0.003,short_lstm.bias_hh_l0:0.003,bn.weight:0.002,bn.bias:0.001,short_lstm.bias_ih_l0_reverse:0.001,short_lstm.bias_hh_l0_reverse:0.001,pred.0.bias:0.001,ln_short.weight:0.001,short2long.bias:0.001,ln_short.bias:0.000,ln_long.weight:0.000,ln_long.bias:0.000,conv.bias:0.000,short_lstm.weight_hh_l0_reverse:0.000

E35 | GN(reg=0.032,cls=0.000,ter=0.000,tot=0.061) | lr=9.62e-05 | tr(rmse=0.250,r2=0.258,mae=0.190) | vl(rmse=0.251,r2=0.235,mae=0.192) | slip=0.00,hub=0.000 | top_grads=conv.weight:0.049,pred.0.weight:0.024,pred.2.weight:0.021,short_lstm.weight_ih_l0:0.011,short2long.weight:0.010,short_lstm.weight_ih_l0_reverse:0.009,short_lstm.weight_hh_l0:0.003,short_lstm.bias_ih_l0:0.003,short_lstm.bias_hh_l0:0.003,bn.weight:0.003,pred.2.bias:0.002,bn.bias:0.001,short_lstm.bias_ih_l0_reverse:0.001,short_lstm.bias_hh_l0_reverse:0.001,pred.0.bias:0.001,ln_short.weight:0.001,short2long.bias:0.001,ln_long.weight:0.000,ln_short.bias:0.000,ln_long.bias:0.000,conv.bias:0.000,short_lstm.weight_hh_l0_reverse:0.000

E36 | GN(reg=0.036,cls=0.000,ter=0.000,tot=0.065) | lr=9.46e-05 | tr(rmse=0.250,r2=0.261,mae=0.190) | vl(rmse=0.251,r2=0.235,mae=0.192) | slip=0.00,hub=0.000 | top_grads=conv.weight:0.051,pred.0.weight:0.026,pred.2.weight:0.025,short_lstm.weight_ih_l0:0.012,short2long.weight:0.010,short_lstm.weight_ih_l0_reverse:0.009,short_lstm.weight_hh_l0:0.003,short_lstm.bias_ih_l0:0.003,short_lstm.bias_hh_l0:0.003,bn.weight:0.003,bn.bias:0.001,pred.2.bias:0.001,short_lstm.bias_ih_l0_reverse:0.001,short_lstm.bias_hh_l0_reverse:0.001,pred.0.bias:0.001,ln_short.weight:0.001,short2long.bias:0.000,ln_long.weight:0.000,ln_short.bias:0.000,ln_long.bias:0.000,conv.bias:0.000,short_lstm.weight_hh_l0_reverse:0.000

E37 | GN(reg=0.037,cls=0.000,ter=0.000,tot=0.067) | lr=9.27e-05 | tr(rmse=0.249,r2=0.263,mae=0.190) | vl(rmse=0.251,r2=0.233,mae=0.192) | slip=0.00,hub=0.000 | top_grads=conv.weight:0.052,pred.0.weight:0.026,pred.2.weight:0.025,short_lstm.weight_ih_l0:0.012,short2long.weight:0.011,short_lstm.weight_ih_l0_reverse:0.010,short_lstm.weight_hh_l0:0.003,short_lstm.bias_ih_l0:0.003,short_lstm.bias_hh_l0:0.003,bn.weight:0.003,bn.bias:0.001,short_lstm.bias_ih_l0_reverse:0.001,short_lstm.bias_hh_l0_reverse:0.001,pred.0.bias:0.001,ln_short.weight:0.001,short2long.bias:0.001,ln_long.weight:0.000,ln_short.bias:0.000,ln_long.bias:0.000,pred.2.bias:0.000,conv.bias:0.000,short_lstm.weight_hh_l0_reverse:0.000

E38 | GN(reg=0.039,cls=0.000,ter=0.000,tot=0.072) | lr=9.05e-05 | tr(rmse=0.249,r2=0.265,mae=0.189) | vl(rmse=0.252,r2=0.232,mae=0.193) | slip=0.00,hub=0.000 | top_grads=conv.weight:0.057,pred.2.weight:0.027,pred.0.weight:0.027,short_lstm.weight_ih_l0:0.013,short_lstm.weight_ih_l0_reverse:0.011,short2long.weight:0.011,short_lstm.weight_hh_l0:0.004,bn.weight:0.003,short_lstm.bias_ih_l0:0.003,short_lstm.bias_hh_l0:0.003,bn.bias:0.002,short_lstm.bias_ih_l0_reverse:0.001,short_lstm.bias_hh_l0_reverse:0.001,pred.2.bias:0.001,pred.0.bias:0.001,ln_short.weight:0.001,short2long.bias:0.000,ln_long.weight:0.000,ln_short.bias:0.000,ln_long.bias:0.000,conv.bias:0.000,short_lstm.weight_hh_l0_reverse:0.000
